education_level,field_of_study,years_experience,preferred_work_type,python_level,javascript_level,java_level,sql_level,react_level,nodejs_level,machine_learning_level,data_analysis_level,cloud_level,cybersecurity_level,statistics_level,communication_level,problem_solving_level,interest_ai,interest_web,interest_data,interest_cloud,interest_security,career
Master,Computer Science,6.0,Remote,3,0,2,3,0,2,0,0,0,1,0,0,3,1,3,3,0,0,Backend Developer
Intermediate/High School,Information Technology,0.5,Hybrid,2,1,2,3,0,2,0,0,1,0,0,1,2,0,3,3,2,1,Backend Developer
Master,Computer Science,7.0,Remote,1,0,1,2,0,0,0,1,0,3,0,2,2,1,1,0,0,2,Cybersecurity Analyst
Master,Computer Science,3.4,On-site,2,0,0,2,0,0,0,0,3,1,0,0,3,1,2,2,3,3,DevOps Engineer
Bachelor,Other,0.3,Remote,3,0,0,2,1,0,0,0,2,2,0,0,3,1,2,1,3,3,DevOps Engineer
Intermediate/High School,Software Engineering,0.3,Remote,0,3,0,0,3,0,0,0,0,0,0,2,0,1,2,1,2,1,Frontend Developer
Master,Information Technology,6.3,Remote,1,1,0,2,0,0,1,0,2,2,0,0,2,1,2,1,3,3,DevOps Engineer
PhD,Computer Science,0.4,Hybrid,3,1,0,0,0,0,2,2,0,0,2,2,0,2,0,3,1,1,Data Scientist
Master,Data Science,1.9,Hybrid,3,0,0,2,0,1,3,2,0,0,3,3,1,3,1,2,1,1,Data Scientist
Master,Other,0.1,On-site,1,0,0,3,1,1,0,2,0,1,2,1,0,0,0,3,2,0,Data Analyst
Intermediate/High School,Mathematics,2.0,Remote,3,0,0,3,0,0,0,3,0,0,2,2,1,1,3,3,2,0,Data Analyst
Master,Information Technology,0.2,Remote,0,1,0,2,0,0,0,0,0,3,1,2,2,2,1,0,2,3,Cybersecurity Analyst
Intermediate/High School,Software Engineering,2.4,On-site,0,3,0,1,2,3,1,0,0,0,0,0,3,3,2,3,1,0,Full Stack Developer
Bachelor,Electrical Engineering,0.3,On-site,1,0,0,2,1,0,0,0,2,2,1,0,3,1,0,2,3,0,Cloud Engineer
Master,Information Technology,2.5,Hybrid,1,0,1,3,0,1,0,0,1,1,0,3,3,1,2,1,1,3,Cybersecurity Analyst
